repo_id,n_modules,total_edges,cf_edges,has_cf,sec_reached,stars,forks,size_kb
49283652,2,0,0,0,0,0,0,212
49442437,4,0,0,0,0,6,3,797
49582108,2,0,0,0,0,11,16,31
49757090,1,0,0,0,0,0,0,7
50140225,1,1,0,0,0,0,0,13
50072841,7,2,2,1,1,26,4,231
50204355,1,0,0,0,0,0,3,10
50382728,2,1,1,1,1,16,12,12
50670046,3,2,2,1,0,0,4,11
50701051,1,0,0,0,0,2,1,21
50852241,1,0,0,0,0,0,3,58
50864382,1,0,0,0,0,10,2,4
50965649,1,0,0,0,0,13,20,652
51028394,1,0,0,0,0,11,15,7
51097780,1,0,0,0,0,26,9,227
51118524,1,0,0,0,0,0,0,7
51194185,1,0,0,0,0,0,2,47
51152492,28,8,8,1,1,20,3,259
51335786,1,0,0,0,0,0,2,23
51469423,2,0,0,0,0,2,1,19
51503491,3,2,2,1,1,2,1,9
51404225,11,9,9,1,1,719,145,2754
51561485,1,0,0,0,0,0,0,3
51571704,1,0,0,0,0,0,0,5
51572911,1,0,0,0,0,2,1,28
51572890,1,0,0,0,0,0,1,64
51572969,1,0,0,0,0,0,0,25
51716976,4,4,1,1,0,0,0,21
51731250,1,0,0,0,0,0,0,2
51782156,1,0,0,0,0,3,2,4
51850188,1,0,0,0,0,0,1,2
51638584,3,0,0,0,0,1,0,8141
51759629,3,0,0,0,0,1,0,1462
52033886,1,0,0,0,0,0,0,1
51954619,1,0,0,0,0,0,0,49
52487455,1,0,0,0,0,0,1,12
52591420,1,0,0,0,0,0,0,7
52612829,8,24,12,1,1,47,34,363
52670135,1,0,0,0,0,0,0,7
52691359,1,0,0,0,0,5,1,19
52706799,4,3,3,1,1,0,0,7
52807190,1,0,0,0,0,16,3,22
52828606,1,0,0,0,0,0,2,24
52829786,1,0,0,0,0,2,0,76
52841455,2,2,2,1,0,0,0,7
52981662,11,10,10,1,0,18,8,39
52988093,4,0,0,0,0,5,16,537
53017255,1,0,0,0,0,0,0,7
53072438,2,0,0,0,0,2,0,15
53179576,1,0,0,0,0,0,0,11
53082856,1,0,0,0,0,2,4,10
53058969,10,23,8,1,1,2,3,11410
53501300,3,2,2,1,0,3,2,12
53514117,1,0,0,0,0,4,2,19
53214842,1,0,0,0,0,3,0,11
53643952,1,1,0,0,0,24,7,34
53741776,6,6,1,1,1,3,1,70
53895828,4,5,3,1,1,1,0,56
54042136,1,0,0,0,0,0,0,5
54014259,1,0,0,0,0,5,4,20
54007265,32,50,50,1,1,171,23,87
53996632,10,2,2,1,0,10,5,58955
54044758,2,2,2,1,1,2,1,4
54249419,3,5,5,1,0,8,2,88
54255125,2,0,0,0,0,0,0,6
54282133,2,1,1,1,1,75,18,46045
54142870,77,120,60,1,0,1221,1203,7161
54326069,1,0,0,0,0,1,2,7
54336343,6,6,6,1,1,0,0,24
54362160,1,0,0,0,0,2,2,9
54385749,7,0,0,0,0,12,14,47
54412153,3,3,0,0,0,4,0,17
54414650,1,0,0,0,0,3,2,223
54431529,1,1,0,0,0,1,2,328
54445181,1,0,0,0,0,0,0,8
54468354,1,0,0,0,0,1,0,73
54526839,1,0,0,0,0,0,0,11
54478222,1,0,0,0,0,0,0,8
54587929,1,0,0,0,0,0,0,15
54602955,1,0,0,0,0,0,1,12
54680197,2,1,0,0,0,1,1,24
54616592,1,0,0,0,0,6,9,36
54735087,1,0,0,0,0,17,7,22
54761916,1,0,0,0,0,0,0,18
54834380,1,0,0,0,0,0,0,5
55046848,1,0,0,0,0,0,0,5
55105386,4,0,0,0,0,0,0,39
